,Catalog_name_1_1,S_p_natural_weight_err_mod,S_int_natural_weight_err_mod,S_p_uniform_weight_err_mod,S_int_uniform_weight_err_mod
0,HDFC0015,2.9170620412e-05,3.02925774476e-05,,
1,HDFC0033,1.85351613182e-05,2.0969728163e-05,,
2,HDFC0037,2.5663042796e-05,2.77319917216e-05,,
3,HDFC0068,3.78171262485e-05,4.16174186564e-05,3.3412842191e-05,3.79390025187e-05
4,HDFC0075,2.21966414193e-05,2.49868161621e-05,2.34152329269e-05,2.06493577426e-05
5,HDFC0084,1.8575865908e-05,2.38704258951e-05,,
6,HDFC0085,2.93487810599e-05,3.52417300287e-05,,
7,HDFC0095,4.94130134365e-05,5.18326828238e-05,3.42645256612e-05,5.95008770632e-05
8,HDFC0153,3.91421518172e-05,4.70254840366e-05,3.91922563881e-05,4.45834675684e-05
9,HDFC0155,5.28961750409e-05,7.74644080818e-05,2.94163699597e-05,6.82793285148e-05
10,HDFC0161,0.00010140614089,0.000104403749426,0.000107164197842,0.000108686585607
11,HDFC0169,5.8941355803e-05,6.77481959769e-05,5.57442768622e-05,5.6606133813e-05
12,HDFC0184,2.5100911811e-05,3.16236990061e-05,,
13,HDFC0198,2.33309223202e-05,2.51805412287e-05,,
14,HDFC0214,0.00080465702905,0.000909356438397,0.000524829899917,0.000918061432704
15,HDFC0217,3.84821434229e-05,4.57362628536e-05,3.42312916239e-05,3.62720085198e-05
16,HDFC0246,2.04704288278e-05,2.09249137969e-05,,
17,HDFC0260,0.000101542770796,0.000106031689737,8.03423915479e-05,0.000100279266964
18,HDFC0262,0.000493019696095,0.000484065749427,0.000461170867796,0.000477418249974
19,HDFC0265,2.25409349331e-05,2.72844193736e-05,,
20,HDFC0269,3.85885386069e-05,4.19228214252e-05,2.81561983607e-05,4.73187275026e-05
21,HDFC0274,1.53784050059e-05,1.79342530954e-05,,
22,HDFC0277,5.79310806277e-05,6.25646336554e-05,4.6150969629e-05,5.38481264153e-05
23,HDFC0291,2.6172420463e-05,2.84825894868e-05,,
